userName,content,score
Pengguna Google,"Dengan app ini jadi mudah pesan kopi tanpa perlu antre lagi, bayarnya juga bisa pake ovo. Ada share kode buat dapat kopi gratis juga. Tapi yang paling saya suka itu desain appnya, minimalis tapi cute 💙",5
Pengguna Google,"Aplikasi yg membantu apabila ingin memesan minuman di store,sehingga tdak perlu antri lagi👍👍👍",5
Pengguna Google,"Pesan kopi kenangan jadi lebih gampang,banyak voucher nya lagi, mantap",4
Pengguna Google,"Aplikasi sangat mempermudah pemesanan kopi, jadi gaperlu susah2 lagi buat ngantri hehe🥰",5
Pengguna Google,Aplikasi yang sangat membantu bagi para pecinta kopi,5
Pengguna Google,"aplikasi sangat bagus , kita di buat tidak perlu menunggu. saat pesan. tgl pesan melalui aplikasi",5
Pengguna Google,Bagus banget aplikasi ini. Jadi ga susah2 nyari outlet kopi kenangan karna di aplikasi ini udah ada list store kopi. Mantap,5
Pengguna Google,"Cara baru buat menikmati kopi, di era ini emang serba aplikasi sampai ke kedai kopi kenangan ini. Banyak keuntungan yg bisa kita dapat...",5
Pengguna Google,Cashback nya bikin mau order terus,5
Pengguna Google,Thx kopi Kenangan Aplikasi yang sangat membantu jadi ga ribet ngantri lagi kalo mau pesan. Mantap!!,5
Pengguna Google,kopinya enak,5
Pengguna Google,"Suka banget aplikasinya, mudah digunakan + dapet point tiap beli kopi yang bisa dipake buat pembelian selanjutnya. Mantaaap",5
Pengguna Google,Aplikasi keren,5
Pengguna Google,"Aplikasinya bagus, mudah2an dikota takalar outletnya cepat launching",5
Pengguna Google,"Kopinya enak, engga kaleng kaleng harga terjangkau. Tempat nya asik bgt uat ngopi2 bikin pewe. Semoga kualitas nya bertambah dan variannya juga. 🙆",5
Pengguna Google,"Wah mantep nih buat pecinta kopi, jadi gampang sekarang kalau mau pesen kopi tinggal klik klik beres",5
Pengguna Google,Aplikasi yang sangat membantu cocok banget buat saya yang males keluar rumah tinggal langsung order nya dan proses nya juga cepat pokonya kopi kenangan manntap,5
Pengguna Google,Aplikasi sangat unik mudah di gunakan jadi gampang ngopi dimana aja,5
Pengguna Google,Mantap,5
Pengguna Google,Bagus buanget nih aplikasi. Setelah download aplikasi ini jadi mudah deh ngode gebetan buat beliin minuman wkwkwkwkwk.... Next tetap ditingkatkan lagi yaaa Good job deh 👏👏👏,5
Pengguna Google,"Keren juga, order outlet terdekat, pas banget buat pecinta kopi, kaya saya hehe",5
Pengguna Google,"Mempermudah pemesanan, tengkiu 🙏",5
Pengguna Google,Aplikasi yg memudahkan dan rasa kopi nya mantap,5
Pengguna Google,"Konsepnya lucu unik dan menarik. Agak sedikit baper sih sama awal pembuatan akun dengan status jomblo, dan sms verifikasinya ternyata dari mantan :') lanjutkan ternyata kopinya enak",5
Pengguna Google,"baguss,,, tpi untuk mendapat kan kopi gratisnya bagaimana ya mohon responn",5
Pengguna Google,Sangat membantu sekali untuk pesen kopi nya 👍👍👍,5
Pengguna Google,Memudahkan pemesanan tanpa harus antri di counter nya..terimakasih sudah mempermudah 😊😊🙏,5
